,ID,OPSHEET ID,SITE NO,SITE,DATE,MUNICIPALITY,BUS PRIORITY
303,304,2046_sheet004.htm,2046.0,DONCASTER ROAD / HERITAGE  BOULEVARD / PETTYS LANE,2015-08-03 00:00:00,MANNINGHAM,"['Bus Loop', 'Bus Loop', 'Bus Loop']"
304,305,2107_sheet002.htm,2107.0,"QUEENS
  PARADE / RUSHALL CRESCENT",2004-12-13 00:00:00,YARRA,"['SG8 is a 3-aspect (R/Y/W) bus display.', 'SG11 YELLOW operates the flashing ""B"" bus warning lanterns.']"
305,306,2107_sheet012.htm,2107.0,"QUEENS
  PARADE / RUSHALL CRESCENT",2004-12-13 00:00:00,YARRA,"['- Turn on SG11 RED to inhibit flashing \x93B\x94 bus warning display.', 'SG11 YELLOW operates the flashing \x93B\x94 bus warning lanterns.', 'These lanterns warn bus drivers to give way to approaching trams.']"
306,307,2169_sheet008.htm,2169.0,"MICKLEHAM
  ROAD / BROADMEADOWS DEVIATION",2010-01-06 00:00:00,HUME,['Delay Timer 1 - Bus']
307,308,2169_sheet012.htm,2169.0,"MICKLEHAM
  ROAD / BROADMEADOWS DEVIATION",2010-01-06 00:00:00,HUME,"['- Set by bus on detector 9 and 10.', '- Set by bus on detector 11 and 12.', '- Set by bus leaving detector 12.', 'Detectors 9-12 (Bus Operation)', 'Timer status for the bus calls can be monitored by observing the LED display on the front panel as follows:', 'Bus calls are cancelled and timers reset if the timers have been expired for more than one cycle.', 'Bus leaving detector 12 sets MSS3.']"
308,309,2206_sheet004.htm,2206.0,MAROONDAH HIGHWAY / STATION STREET,2016-08-19 00:00:00,WHITEHORSE,"['Bus/Queue loop', 'Bus loop']"
309,310,2206_sheet013.htm,2206.0,MAROONDAH HIGHWAY / STATION STREET,2016-08-19 00:00:00,WHITEHORSE,"['Set when a Bus is detected on detectors 17 & 18', 'BUS DETECTOR OPERATION', 'Detectors 17 and 18 place a non-locking BUS demand and extend BØ &']"
310,311,2307_sheet009.htm,2307.0,"NEPEAN
  HWY NR DICKENS ST",2010-07-19 00:00:00,PORT PHILLIP,['XSF6 \x96 Set permanent demand for \x93walking\x94 school bus']
311,312,2326_sheet005.htm,2326.0,NEPEAN HIGHWAY / BAY ROAD / KAREN STREET,2018-06-05 00:00:00,KINGSTON,"['BUS DETECTOR', 'BUS DETECTOR']"
312,313,2326_sheet014.htm,2326.0,NEPEAN HIGHWAY / BAY ROAD / KAREN STREET,2018-06-05 00:00:00,KINGSTON,"['(Bus Detectors)', 'OPEARATION OF BUS DETECTORS 21 & 22']"
313,314,3390_sheet002.htm,3390.0,"PUNT
  RD/ HODDLE ST/ BRIDGE RD/ WELLINGTON PDE",2010-03-11 00:00:00,MELBOURNE,['SG13 is a 1-aspect (W) bus lantern.']
314,315,3390_sheet012.htm,3390.0,"PUNT
  RD/ HODDLE ST/ BRIDGE RD/ WELLINGTON PDE",2010-03-11 00:00:00,MELBOURNE,['BUS DETECTORS 19 & 20']
315,316,3395_sheet004.htm,3395.0,PUNT ROAD/ALEXANDRA AVENUE,2015-02-24 00:00:00,MELBOURNE,['Bus Loop']
316,317,3395_sheet008.htm,3395.0,PUNT ROAD/ALEXANDRA AVENUE,2015-02-24 00:00:00,MELBOURNE,"['Ignore bus call - BØ, DØ, & SG6 in AØ, if det.1 and/or det.14 ON for this timesetting.']"
317,318,3395_sheet013.htm,3395.0,PUNT ROAD/ALEXANDRA AVENUE,2015-02-24 00:00:00,MELBOURNE,['Detectors 1 and 14 (Bus detection)']
318,319,3407_sheet009.htm,3407.0,PUNT ROAD/ALEXANDRA AVENUE,2015-02-24 00:00:00,MELBOURNE,['GAMES SHUTTLE BUS / EMERGENCY VEHICLE PRIORITY OPERATION']
319,320,3449_sheet012.htm,3449.0,"JOHNSTON
  STREET / PATTERSON STREET",2010-05-26 00:00:00,YARRA,"['Westbound (from kerb to centre of road) \x96 bus, car, car', 'Eastbound (from kerb to centre of road) \x96 bus, car, car']"
320,321,3457_sheet012.htm,3457.0,"JOHNSTON
  STREET/ NICHOLSON STREET",2006-07-11 00:00:00,YARRA,"['Westbound (from kerb to centre of road) \x96 bus, car, car', 'Eastbound (from kerb to centre of road) \x96 bus, car, car']"
321,322,3501_sheet001.htm,3501.0,"MILLERS
  ROAD/BLACKSHAWS ROAD",2012-10-03 00:00:00,HOBSONS BAY,['changes to phasing for revised bus priority.']
322,323,3501_sheet012.htm,3501.0,"MILLERS
  ROAD/BLACKSHAWS ROAD",2012-10-03 00:00:00,HOBSONS BAY,"['\x96 Selects special maximum extension green for DØ if a bus is detected (Master and Flexi).', '- Set by bus on detector 1 and 13.', '- Set by bus on detector 5 and 14.', '- Set by bus leaving detector 1.', '- Set by bus leaving detector 5.', 'BØ with BØ demanded by a bus on detector 5 only.', 'BØ with BØ demanded by a bus on detector 1 only.', 'If a bus is detected (bus is on detector 1 and/or on detector 5) in DØ, and XSF4 is set, DØ is expired after a special maximum extension time (Refer to Special Purpose Timesetting No. 25).', 'Detectors 1, 5, 13 and 14 (Bus Operation)', 'Bus leaving detector 1 sets MSS3 for 4 seconds.', 'Bus leaving detector 5 sets MSS4 for 4 seconds.']"
323,324,3510_sheet002.htm,3510.0,PASCOE VALE RD/MT ALEXANDER RD/ASCOT VALE RD,2016-08-11 00:00:00,MOONEE VALLEY,['SG14 IS A 3-ASPECT (R/Y/W) BUS DISPLAY']
324,325,3510_sheet005.htm,3510.0,PASCOE VALE RD/MT ALEXANDER RD/ASCOT VALE RD,2016-08-11 00:00:00,MOONEE VALLEY,['BUS']
325,326,3511_sheet012.htm,3511.0,"MT
  ALEXANDER/KELLAWAY/TAYLOR/HOMER",2012-02-10 00:00:00,MOONEE VALLEY,['Detectors 1&2 (Bus Operation)']
326,327,3526_sheet002.htm,3526.0,"MILLERS
  ROAD/CABOT DRIVE",2012-01-06 00:00:00,HOBSONS BAY,['SG6 and SG7 are 2-aspect (G/W) bike and bus displays.']
327,328,3526_sheet003.htm,3526.0,"MILLERS
  ROAD/CABOT DRIVE",2012-01-06 00:00:00,HOBSONS BAY,['** Conditional on bus demand.']
328,329,3526_sheet008.htm,3526.0,"MILLERS
  ROAD/CABOT DRIVE",2012-01-06 00:00:00,HOBSONS BAY,['GØ maximum extension green when bus on detector 3']
329,330,3526_sheet012.htm,3526.0,"MILLERS
  ROAD/CABOT DRIVE",2012-01-06 00:00:00,HOBSONS BAY,"['- Bus on detectors 2 and 3 sets MSS1.', '- Bus leaving detector 3 sets MSS2.', '- Bus on detectors 6 and 7 sets MSS3.', '- Bus leaving detector 7 sets MSS4.', 'AØ with a bus on detector 3.', 'AØ with a bus on detector 7.', 'GØ with a bus on detector 7.', 'AØ with a bus on', 'AØ with a bus on detector 7.', 'GØ with a bus on detector 7.']"
330,331,3556_sheet001.htm,3556.0,NORTH ROAD NR DALMOR AVENUE & CADBY AVENUE,2016-05-11 00:00:00,GLEN EIRA,"['Remove Rail link, add Bus Early start', '( VEHICLE, BUS )']"
331,332,3556_sheet004.htm,3556.0,NORTH ROAD NR DALMOR AVENUE & CADBY AVENUE,2016-05-11 00:00:00,GLEN EIRA,"['BUS Loop', 'BUS Loop']"
332,333,3556_sheet007.htm,3556.0,NORTH ROAD NR DALMOR AVENUE & CADBY AVENUE,2016-05-11 00:00:00,GLEN EIRA,"['Inhibit Detectors 4 & 8 from calling SG5 (Bus display)', '(Bus display)', 'SG2 is conditional on a Bus demand and/or Pedestrian P1 demand', 'SG5 is a 1-aspect (W) Bus \x91B\x92 displays.', 'BUS DETECTOR OPERATION']"
333,334,3556_sheet009.htm,3556.0,NORTH ROAD NR DALMOR AVENUE & CADBY AVENUE,2016-05-11 00:00:00,GLEN EIRA,['(Bus display)']
334,335,3563_sheet004.htm,3563.0,"NORTH
  ROAD NR JASSA STREET",2011-11-04 00:00:00,GLEN EIRA,"['Bus Detector. Refer to notes P3.1 to P3.3', 'Bus Detector. Refer to notes P3.1 to P3.3', 'Bus Detector. Refer to notes P3.1 to P3.3', 'Bus Detector. Refer to notes P3.1 to P3.3', 'Bus Detector. Refer to notes P3.1 to P3.3', 'Bus Detector. Refer to notes P3.1 to P3.3']"
335,336,3563_sheet009.htm,3563.0,"NORTH
  ROAD NR JASSA STREET",2011-11-04 00:00:00,GLEN EIRA,"['Disable the calling of Pedestrian P1 via Bus Detectors 5 and 6', 'Disable the calling of Pedestrian P1 via Bus Detectors 7 and 8', 'Disable the calling of Pedestrian P1 via Bus Detectors 10 and 11', 'Bus being detected via Detectors 5 and 6 (refer to Op. Sheet Page 1 and Note A below)', 'Bus being detected via Detectors 7 and 8 (refer to Op. Sheet', 'Bus being detected via Detectors 10 and 11 (refer to Op. Sheet', 'OPERATION OF BUS DETECTORS ( Detectors 5 and 6 )', 'The demand for P1 via Bus Detectors 5 and 6 is a non-locking call. i.e. if the conditions mentioned in a, b, c above are satisfied then the call for P1 will be maintained until Detector 5 changes to the off state or P1 operates.', 'P1 is demanded and operates due to the Bus Detectors 5 and 6, set MSS 2 flag.', 'P1 is demanded by Detectors 5 and 6 (Bus) and not by Detector 9 (Pedestrian Push Button), then substitute P1 walk time with the time stored in Special Purpose Timesetting No. 9.', 'P1 is demanded by Detector 9 (Pedestrian Push Button) as well as Detectors 5 and 6 (Bus), then do', 'XSF 2 flag is set, disable the calling of Pedestrian P1 via Bus Detectors 5 and 6', 'OPERATION OF BUS DETECTORS ( Detectors 7 and 8 )', 'The demand for P1 via Bus Detectors 7 and 8 is a non-locking call. i.e. if the conditions mentioned in a, b, c above are satisfied then the call for P1 will be maintained until Detector 7 changes to the off state or P1 operates.', 'P1 is demanded and operates due to the Bus Detectors 7 and 8, set MSS 3 flag.', 'P1 is demanded by Detectors 7 and 8 (Bus) and not by Detector 9 (Pedestrian Push Button), then substitute P1 walk time with the time stored in Special Purpose Timesetting No. 9.', 'P1 is demanded by Detector 9 (Pedestrian Push Button) as well as Detectors 7 and 8 (Bus), then do', 'XSF 3 flag is set, disable the calling of Pedestrian P1 via Bus Detectors 7 and 8.', 'OPERATION OF BUS DETECTORS ( Detectors 10 and 11 )', 'The demand for P1 via Bus Detectors 10 and 11 is a non-locking call. i.e. if the conditions mentioned in a, b, c above are satisfied then the call for P1 will be maintained until Detector 10 changes to the off state or P1 operates.', 'P1 is demanded and operates due to the Bus Detectors 10 and 11, set MSS 4 flag.', 'P1 is demanded by Detectors 10 and 11 (Bus) and not by Detector 9 (Pedestrian Push Button), then substitute P1 walk time with the time stored in Special Purpose Timesetting No. 9.', 'P1 is demanded by Detector 9 (Pedestrian Push Button) as well as Detectors 10 and 11 (Bus), then do', 'XSF 4 flag is set, disable the calling of Pedestrian P1 via Bus Detectors 10 and 11.']"
336,337,3566_sheet001.htm,3566.0,"NORTH
  ROAD NR JASSA STREET",2011-11-04 00:00:00,GLEN EIRA,"['\x96 Inhibits the operation of Bus Detectors 13 & 14 (refer Bus Priority Operation).', '\x96 Inhibits the operation of Bus Detectors 15 & 16 (refer Bus Priority Operation).', 'BUS OPERATION FOR SHARED LANES']"
337,338,3566_sheet003.htm,3566.0,"NORTH
  ROAD NR JASSA STREET",2011-11-04 00:00:00,GLEN EIRA,['SG7 & 8 are 1-aspect (W) bus lanterns']
338,339,3571_sheet001.htm,3571.0,"VICTORIA PARADE 
  NR CROMWELL STREET",2015-07-14 00:00:00,MELBOURNE,"['BARIS ERAL, TRAM AND BUS PROJECTS', 'TRAM AND BUS PROJECTS - SIGNAL INSTALLATION']"
339,340,3592_sheet004.htm,3592.0,"PASCOE
  VALE ROAD/MORELAND ROAD",2010-08-12 00:00:00,MOONEE VALLEY,"['Vehicle Loop - Bus', 'Vehicle Loop - Bus']"
340,341,3592_sheet012.htm,3592.0,"PASCOE
  VALE ROAD/MORELAND ROAD",2010-08-12 00:00:00,MOONEE VALLEY,"['MSS8 \x96 Bus on detector 8', 'SG5 is conditional on bus demands via detectors 7 & 8 in C', 'If there is a bus demand prior to the start of C', 'until either the bus leaves detector 8 or the phase maximum.', 'from detectors 7 & 8 (Brewster St Bus).', 'Detectors 7 and 8 (Brewster St Bus Detector Operation)', 'A non-locking bus demand for', 'A bus on detector 8 extends C', 'A bus on detector 8 sets MSS8.']"
341,342,3600_sheet001.htm,3600.0,PASCOE VALE ROAD / DIMBOOLA ROAD,2018-06-05 00:00:00,HUME,"['bus priority', '( VEHICLE FOR BUS )']"
342,343,3600_sheet004.htm,3600.0,PASCOE VALE ROAD / DIMBOOLA ROAD,2018-06-05 00:00:00,HUME,"['VEH DET FOR BUS', 'VEH DET FOR BUS', 'VEH DET FOR BUS', 'VEH DET FOR BUS']"
343,344,3600_sheet013.htm,3600.0,PASCOE VALE ROAD / DIMBOOLA ROAD,2018-06-05 00:00:00,HUME,"['MSS1 \x96 Set when there is a bus on detector 14 & 15 and detector 15 has been occupied for the', 'MSS2 \x96 Set when there is a bus on detector 8 & 16 and detector 16 has been occupied for the', 'MSS3 \x96 Set when there is a bus on detector 9 & 17 and detector 17 has been occupied for the', 'Detectors 8, 9, 14-17 (Bus Operation)', '7. Bus calls are cancelled and timers reset if the timers have been expired for more than one cycle.']"
344,345,3612_sheet002.htm,3612.0,"PASCOE
  VALE ROAD/TAGGERTY CRESCENT SOUTH",2010-04-19 00:00:00,HUME,['SG2 and SG3 are 3-aspect (R/Y/W) bus displays']
345,346,3612_sheet012.htm,3612.0,"PASCOE
  VALE ROAD/TAGGERTY CRESCENT SOUTH",2010-04-19 00:00:00,HUME,"['Detectors 7 and 8 (Conditions for calling bus phase, BØ and DØ)']"
346,347,3616_sheet002.htm,3616.0,PASCOE VALE ROAD / BARRY ROAD,2014-07-24 00:00:00,HUME,['SG13 IS A 1-ASPECT (W) BUS DISPLAY']
347,348,3616_sheet012.htm,3616.0,PASCOE VALE ROAD / BARRY ROAD,2014-07-24 00:00:00,HUME,['Detector 18 (Bus Operation)']
348,349,3623_sheet012.htm,3623.0,PRINCESS ST / WILLSMERE ST,2005-04-13 00:00:00,BOOROONDARA,"['OPERATION OF BUS DETECTORS (Detectors 1 and 2)', 'The demand for B phase via Bus Detectors 1 and 2 is a non-locking call. i.e. if the conditions mentioned in a, b, c above are satisfied then the call for B phase will be maintained until Detector 1 changes to the off state or B phase operates.']"
349,350,3640_sheet001.htm,3640.0,"PASCOE
  VALE ROAD / COOLAROO STATION ACCESS",2010-06-08 00:00:00,HUME,['New phasing for the addition of bus priority']
350,351,3640_sheet012.htm,3640.0,"PASCOE
  VALE ROAD / COOLAROO STATION ACCESS",2010-06-08 00:00:00,HUME,['Detector 5 (Bus Operation)']
351,352,3646_sheet002.htm,3646.0,"PASCOE
  VALE ROAD / MASTERS CARPARK ACCESS",2011-11-07 00:00:00,HUME,['SG6 is a 1-aspect (W) bus display']
352,353,3646_sheet012.htm,3646.0,"PASCOE
  VALE ROAD / MASTERS CARPARK ACCESS",2011-11-07 00:00:00,HUME,"['- Set by bus on detectors 10 and 11.', '- Set by bus leaving detector 11.', 'AØ with a bus demand via detector 11.', 'EØ with a bus demand via detector 11.', 'AØ with a bus demand via detector 11.', 'EØ with a bus demand via detector 11.', 'Detectors 10 & 11(Bus Operation)', 'Bus on detectors 10 and 11 set MSS1.', 'Bus leaving detector 11 sets MSS2.']"
353,354,3650_sheet008.htm,3650.0,GLENROY ROAD/ CARDINAL ROAD,2013-06-12 00:00:00,MORELAND,['Delay Timer 1: Bus']
354,355,3650_sheet013.htm,3650.0,GLENROY ROAD/ CARDINAL ROAD,2013-06-12 00:00:00,MORELAND,"['Detectors 2, 3, 4 and 5 (Bus Operation)', 'Bus calls are cancelled and timers re-set if the timers have been expired for more than one cycle.', 'Timer status for the bus calls can be monitored by observing the controller memory display as follows:']"
355,356,3658_sheet012.htm,3658.0,BELL STREET/PENTRIDGE BOULEVARD,2014-07-21 00:00:00,MORELAND,"['- Set by bus on detectors 1 & 2.', '- Set by bus on detectors 6 & 7.', '- Set by bus leaving detector 2.', '- Set by bus leaving detector 7.', 'SG6 has 1-aspect (W) bus lanterns on site, however, they are not driven by the controller in this opsheet.', 'Detectors 1 and 2 (Bus Operation)', 'Bus leaving detector 2 sets MSS3.', 'Detectors 6 and 7 (Bus Operation)', 'Bus leaving detector 7 sets MSS4.']"
356,357,3677_sheet004.htm,3677.0,WARRIGAL ROAD / HARVEY NORMAN ENT. 1,2014-08-27 00:00:00,MONASH,"['Bus Priority Input', 'Bus Priority Input']"
357,358,3677_sheet012.htm,3677.0,WARRIGAL ROAD / HARVEY NORMAN ENT. 1,2014-08-27 00:00:00,MONASH,"['Inhibits the operation of Bus Detector 10 (refer Bus Priority Operation).', 'Inhibits the operation of Bus Detector 11 (refer Bus Priority Operation).']"
358,359,3682_sheet004.htm,3682.0,WARRIGAL ROAD / RIVERSDALE ROAD,2016-03-02 00:00:00,WHITEHORSE,"['BUS', 'BUS']"
359,360,3682_sheet008.htm,3682.0,WARRIGAL ROAD / RIVERSDALE ROAD,2016-03-02 00:00:00,WHITEHORSE,['Timer 5 - Bus Travel Time from Detector 18 to Stop-Line']
360,361,3683_sheet002.htm,3683.0,"WARRIGAL
  ROAD NR GLEESON AVENUE & THOMAS STREET",2010-09-07 00:00:00,WHITEHORSE,['Detectors 5 & 6 are bus detectors']
361,362,3683_sheet004.htm,3683.0,"WARRIGAL
  ROAD NR GLEESON AVENUE & THOMAS STREET",2010-09-07 00:00:00,WHITEHORSE,"['Bus Detector - Refer to notes', 'Bus Detector - Refer to notes']"
362,363,3683_sheet008.htm,3683.0,"WARRIGAL
  ROAD NR GLEESON AVENUE & THOMAS STREET",2010-09-07 00:00:00,WHITEHORSE,['SG1 ALL-RED under Side Road Queue or Bus control operation']
363,364,3684_sheet002.htm,3684.0,"WARRIGAL
  ROAD NR LOUDON ROAD",2009-12-03 00:00:00,WHITEHORSE,['Detectors 5 & 6 are Bus detectors']
364,365,3684_sheet004.htm,3684.0,"WARRIGAL
  ROAD NR LOUDON ROAD",2009-12-03 00:00:00,WHITEHORSE,"['BUS DET. - REFER TO SPECIAL NOTES', 'BUS DET. - REFER TO SPECIAL NOTES']"
365,366,3684_sheet008.htm,3684.0,"WARRIGAL
  ROAD NR LOUDON ROAD",2009-12-03 00:00:00,WHITEHORSE,['SG1 ALL-RED under Bus Control Operation']
366,367,3684_sheet011.htm,3684.0,"WARRIGAL
  ROAD NR LOUDON ROAD",2009-12-03 00:00:00,WHITEHORSE,"['Inhibit closing down of SG1 via the operation of Bus detectors 5 & 6.', 'Bus being detected via Detectors 5 and 6.', ', which cancels the demand for the closure of SG1 via the operation of bus detectors described below.', 'SG1 closes down for the All-Red period as specified in Special Purpose Timesetting No. 20 if demanded by bus detectors below.', 'OPERATION OF BUS DETECTORS (Detectors 5 and 6)', 'The demand for closure of SG1 via Bus Detectors 5 and 6 is a non-locking call. i.e. if the conditions mentioned in a, b, c above are satisfied then the closure of SG1 will be maintained until Detector 5 changes to the off state or closure of SG1.', 'If closure of SG1 is due to the Bus Detectors 5 and 6, set MSS1 flag for the duration SG1 red. When MSS1 is set, inhibit the operation of Puffin detectors 7 & 8.', 'If P1 is demanded by Detector 12 (Pedestrian Push Buttons) as well as Detectors 5 and 6 (Bus), then operate P1 normally as described in Puffin operation', 'If XSF1 flag is set, disable the calling for the closure of SG1 via Bus Detectors 5 and 6.']"
367,368,3689_sheet004.htm,3689.0,WARRIGAL ROAD / THE BOULEVARD,2014-08-28 00:00:00,MONASH,"['Bus Detector', 'Bus Detector']"
368,369,3689_sheet012.htm,3689.0,WARRIGAL ROAD / THE BOULEVARD,2014-08-28 00:00:00,MONASH,"['Inhibits operation of Detector 4 & 13 (bus detectors on north approach).', 'FAULT STATUS FOR BUS DETECTORS']"
369,370,3691_sheet003.htm,3691.0,"WARRIGAL
  ROAD / ATHERTON ROAD",2010-12-17 00:00:00,MONASH,['* SG3 is conditional on Bus / Queue demands in BØ']
370,371,3691_sheet004.htm,3691.0,"WARRIGAL
  ROAD / ATHERTON ROAD",2010-12-17 00:00:00,MONASH,"['Bus detector', 'Bus detector', 'Bus detector', 'Bus detector']"
371,372,3691_sheet012.htm,3691.0,"WARRIGAL
  ROAD / ATHERTON ROAD",2010-12-17 00:00:00,MONASH,"['A bus is detected via detectors 9 & 10.', 'A bus is detected via detectors 11 & 12.', 'Following conditions constitute the presence of a bus:', 'Following conditions constitute the presence of a bus:', 'When bus leaving detectors 11 & 12, set MSS1.']"
372,373,3695_sheet001.htm,3695.0,"WARRIGAL
  RD/OLD DANDENONG RD",2010-12-23 00:00:00,KINGSTON,['Additional detectors - Bus detectors']
373,374,3695_sheet004.htm,3695.0,"WARRIGAL
  RD/OLD DANDENONG RD",2010-12-23 00:00:00,KINGSTON,"['Bus Priority Input', 'Bus Priority Input']"
374,375,3695_sheet009.htm,3695.0,"WARRIGAL
  RD/OLD DANDENONG RD",2010-12-23 00:00:00,KINGSTON,['Bus detectors']
375,376,3695_sheet012.htm,3695.0,"WARRIGAL
  RD/OLD DANDENONG RD",2010-12-23 00:00:00,KINGSTON,"['Inhibits the operation of Bus Detector 19', '(Refer Bus Priority Operation)', 'Inhibits the operation of Bus Detector 18', '(Refer Bus Priority Operation)', 'Set when bus detector 18 is activated.', 'Set when bus priority operates due to detector 18.', 'Set when bus detector 19 is activated.', 'Set when bus priority operates due to detector 19.', 'BUS PRIORITY OPERATION', 'Bus priority inputs from the BUS PRIORITY CONTROL SYSTEM are connected to detector inputs in the traffic signal controller.', 'Each Bus Priority Input is held on (i.e., held on short-circuit) from the point when the bus reaches the priority request location on the particular bus priority approach until it passes the stop line on that approach.', 'Detector 18 is connected to the Bus Priority Input that services buses on the South Approach.', 'Detector 19 is connected to the Bus Priority Input that services buses on the North Approach.', 'The following table describes the functions of each of the bus detectors:', 'Bus calls are cancelled and timers reset if the timers have been expired for more than one cycle or until the call changes to the off state.']"
376,377,3696_sheet004.htm,3696.0,WARRIGAL ROAD / SOUTH ROAD / DINGLEY BYPASS,2015-10-05 00:00:00,KINGSTON,"['Bus Loop', 'Bus Loop']"
377,378,3705_sheet004.htm,3705.0,STUD ROAD / MOCKRIDGE STREET / HARCREST BOULEVARD,2014-05-19 00:00:00,KNOX,"['BUS Loop', 'BUS Loop', 'BUS Loop (N/B)', 'BUS Loop (S/B)']"
378,379,3705_sheet008.htm,3705.0,STUD ROAD / MOCKRIDGE STREET / HARCREST BOULEVARD,2014-05-19 00:00:00,KNOX,['SG7 & SG8 (bus) minimum green time in CØ']
379,380,3705_sheet013.htm,3705.0,STUD ROAD / MOCKRIDGE STREET / HARCREST BOULEVARD,2014-05-19 00:00:00,KNOX,"['Bus display', 'Bus display', 'SG7 is a 1-aspect (W) Bus \x91B\x92 displays.', 'SG8 is a 1-aspect (W) Bus \x91B\x92 display']"
380,381,3742_sheet013.htm,3742.0,DALTON ROAD/ KEON PARADE/ CHEDDAR ROAD,2014-11-11 00:00:00,DAREBIN,"['Detector 12 (Bus Operation)', 'Detectors 13 and 14 (Bus Operation)']"
381,382,3809_sheet004.htm,3809.0,RIVERSDALE ROAD / THROUGH ROAD / VERDUN STREET,2014-10-17 00:00:00,BOROONDARA,"['BUS', 'BUS']"
382,383,3809_sheet012.htm,3809.0,RIVERSDALE ROAD / THROUGH ROAD / VERDUN STREET,2014-10-17 00:00:00,BOROONDARA,['OPERATION OF BUS DETECTORS']
383,384,3856_sheet004.htm,3856.0,"TOORONGA ROAD 
  NR MILTON PARADE",2015-10-06 00:00:00,STONNINGTON,['Bus Loop']
384,385,3856_sheet008.htm,3856.0,"TOORONGA ROAD 
  NR MILTON PARADE",2015-10-06 00:00:00,STONNINGTON,"['Timer 1 : Duration of SG4 (""Bus"" display) green']"
385,386,3856_sheet013.htm,3856.0,"TOORONGA ROAD 
  NR MILTON PARADE",2015-10-06 00:00:00,STONNINGTON,"['(Bus display)', 'Bus display', 'SG4 is a 1-aspect (W) Bus \x91B\x92 displays.', 'BUS DETECTOR OPERATION']"
386,387,3930_sheet001.htm,3930.0,"RIVERSDALE
  ROAD / STATION STREET",2005-02-07 00:00:00,WHITEHORSE,['Addition of Bus Phase']
387,388,3930_sheet004.htm,3930.0,"RIVERSDALE
  ROAD / STATION STREET",2005-02-07 00:00:00,WHITEHORSE,"['Bus Detector', 'Bus Detector']"
388,389,3930_sheet012.htm,3930.0,"RIVERSDALE
  ROAD / STATION STREET",2005-02-07 00:00:00,WHITEHORSE,['CONDITIONS FOR CALLING BUS PHASE (B']
389,390,3934_sheet002.htm,3934.0,"ELGAR
  ROAD NR SEVERN STREET",2011-04-08 00:00:00,WHITEHORSE,['Detectors 3 & 4 and Detectors 5 & 6 are paired bus detectors']
390,391,3934_sheet003.htm,3934.0,"ELGAR
  ROAD NR SEVERN STREET",2011-04-08 00:00:00,WHITEHORSE,['Refer also to Bus Detection Notes (Pages 3/1 & 3/2)']
391,392,3934_sheet004.htm,3934.0,"ELGAR
  ROAD NR SEVERN STREET",2011-04-08 00:00:00,WHITEHORSE,"['Bus Detector (Refer Page 3/1)', 'Bus Detector (Refer Page 3/1)', 'Bus Detector (Refer Page 3/2)', 'Bus Detector (Refer Page 3/2)']"
392,393,3934_sheet006.htm,3934.0,"ELGAR
  ROAD NR SEVERN STREET",2011-04-08 00:00:00,WHITEHORSE,['P1 WALK TIME SUBSTITUTION IF CALLED BY BUS DETECTORS']
393,394,3934_sheet009.htm,3934.0,"ELGAR
  ROAD NR SEVERN STREET",2011-04-08 00:00:00,WHITEHORSE,"['Inhibit special operation of Bus Detectors 3 & 4', 'Inhibit special operation of Bus Detectors 5 & 6', 'OPERATION OF BUS DETECTORS 3 & 4', 'OPERATION OF BUS DETECTORS 5 & 6']"
394,395,3983_sheet006.htm,3983.0,"BARRY
  ROAD NR DUNSTAN PARADE",2007-05-02 00:00:00,HUME,['P1 WALK TIME SUBSTITUTION FOR BUS OPERATION']
395,396,3983_sheet009.htm,3983.0,"BARRY
  ROAD NR DUNSTAN PARADE",2007-05-02 00:00:00,HUME,"['BUS MODE OPERATION', 'BUS DETECTOR OPERATION', 'P1 (Pedestrian Phase) is also demanded by the bus detectors 5 & 6, when:']"
396,397,3993_sheet008.htm,3993.0,"BOUNDARY
  ROAD / CUMBERLAND ROAD",2010-11-01 00:00:00,MORELAND,"['Delay Timer 1 - Bus', 'Delay Timer 2 - Bus']"
397,398,3998_sheet008.htm,3998.0,JOHNSTONE STREET / PEARCEDALE PARADE,2014-05-13 00:00:00,HUME,['Ignore bus call (SG10) in DØ if det 10 ON for this timesetting']
398,399,3998_sheet013.htm,3998.0,JOHNSTONE STREET / PEARCEDALE PARADE,2014-05-13 00:00:00,HUME,"['If detector 10 is ON for the time in Special Purpose Timesetting No. 13, call the bus (SG10) in DØ but ignore FØ until detector 10 changes state from OFF to ON.']"
399,400,3044_sheet001.htm,3044.0,"BUCKLEY
  ST NR BATMAN ST",2008-03-13 00:00:00,MOONEE VALLEY,['( VEHICLE FOR BUS )']
400,401,3044_sheet004.htm,3044.0,"BUCKLEY
  ST NR BATMAN ST",2008-03-13 00:00:00,MOONEE VALLEY,"['Vehicle Loop - Bus, Approach 1^', 'Vehicle Loop - Bus, Approach 2^', 'Vehicle Loop - Bus, Approach 2^']"
401,402,3044_sheet011.htm,3044.0,"BUCKLEY
  ST NR BATMAN ST",2008-03-13 00:00:00,MOONEE VALLEY,"['BUS DETECTOR OPERATION', 'A bus leaving detector 4 sets MSS1 if:', 'A bus leaving detector 5 sets MSS2 if:', 'A bus leaving detector 6 sets MSS2 if:']"
402,403,3050_sheet001.htm,3050.0,"BELL
  STREET/ CUMBERLAND ROAD",2009-08-18 00:00:00,MORELAND,"['phasing changed, bus detectors added', '( VEHICLE FOR BUS )']"
